Name, Run Time, RatingsCasablanca,102 min,8.5
Citizen Kane,119 min,8.3
It's a Wonderful Life,130 min,8.6
The Wizard of Oz,102 min,8.0
Gone with the Wind,238 min,8.1
Modern Times,87 min,8.5
The Great Dictator,125 min,8.4
Snow White and the Seven Dwarfs,83 min,7.6
City Lights,87 min,8.5
Metropolis,153 min,8.3
The Third Man,104 min,8.1
The Maltese Falcon,100 min,8.0
Ladri di biciclette,89 min,8.3
Double Indemnity,107 min,8.3
M - Eine Stadt sucht einen Mörder,117 min,8.3
Bambi,70 min,7.3
Pinocchio,88 min,7.4
Rope,80 min,8.0
Rebecca,130 min,8.1
Dumbo,64 min,7.2
The Treasure of the Sierra Madre,126 min,8.2
The Kid,68 min,8.3
Mr. Smith Goes to Washington,129 min,8.1
The Gold Rush,95 min,8.2
It Happened One Night,105 min,8.1
Notorious,102 min,7.9
Fantasia,125 min,7.8
Nosferatu,94 min,7.9
The Grapes of Wrath,129 min,8.0
The General,67 min,8.1
The Big Sleep,114 min,7.9
King Kong,100 min,7.9
Arsenic and Old Lace,118 min,8.0
Frankenstein,70 min,7.8
The Philadelphia Story,112 min,7.9
Shadow of a Doubt,108 min,7.8
All Quiet on the Western Front,152 min,8.0
The Best Years of Our Lives,170 min,8.0
Das Cabinet des Dr. Caligari,76 min,8.1
Duck Soup,69 min,7.8
Bringing Up Baby,102 min,7.9
His Girl Friday,92 min,7.9
Bronenosets Potemkin,75 min,8.0
The 39 Steps,86 min,7.6
The Adventures of Robin Hood,102 min,7.9
The Lady Vanishes,96 min,7.8
Sunrise: A Song of Two Humans,94 min,8.1
La passion de Jeanne d'Arc,110 min,8.1
Dracula,75 min,7.5
Spellbound,111 min,7.6
